"N" "K_means" "K_sd" "lambda_means" "lambda_sd" "c_means" "c_sd" "fitness_means" "fitness_sd" "r"
"100" 888 950.021904072499 0.079281304438505 1.68089203800515 0.101252989526274 -1.87474244816184 0.126952469372949 1.18151143940166 0.00692840053192563 0.934715290451065
"101" 1073 950.022011977632 0.0805800044857413 1.68270223024485 0.0990487456656897 -1.88032242866894 0.125851943166533 0.640252840242852 0.0225010314321378 1.12944751434377
"102" 682 950.020455049141 0.0821201442013083 1.68728160171913 0.0979425813839424 -1.87260855712772 0.119987393686739 1.57767737760373 0.057770881463207 0.717879279730585
"103" 1061 950.02340832004 0.0820385897830428 1.69077440474345 0.0992341804072635 -1.8706943443957 0.116362409711679 0.674318369077481 0.0188632902772374 1.11681458657551
"104" 769 950.026360466675 0.0840052059659688 1.70149554536475 0.0996437877432153 -1.86773155533074 0.114357938510346 1.46153026417612 0.0324165079288207 0.809451223671572
"105" 1072 950.025285395352 0.0869964391452699 1.7068787627157 0.100078728668138 -1.87482833976831 0.113919958845741 0.646035937921623 0.0201674060872363 1.12839101914418
"106" 753 950.022520717444 0.0880976749769313 1.70218309396925 0.0995961467300683 -1.87615021177504 0.113106472953808 1.49044667440181 0.0372747639128915 0.792612789254033
"107" 1152 950.021837904781 0.0884467416678089 1.70067573821455 0.0990745394455978 -1.87766945652017 0.113096903546034 0.457620302720128 0.0319203515508582 1.2126037045008
"108" 545 950.01278734632 0.0935537220562468 1.70982218572058 0.0959032072227999 -1.86669406442253 0.118198223609601 1.68132129473943 0.0824158696285128 0.573676488631646
"109" 882 950.010893988223 0.0938683122941767 1.7141176155278 0.0951349567759213 -1.86445542718427 0.122135263529807 1.19912499715697 0.00710965242403026 0.928410406218914
"110" 1109 950.0083714118 0.0967522841770632 1.71819666574728 0.094849341833098 -1.86783501315486 0.12484344689208 0.556368004660012 0.0272558496514418 1.16735813427825
"111" 635 950.005587984536 0.0996655151378165 1.7248802446839 0.0900538864964731 -1.85464554679512 0.125781856843766 1.64358370161811 0.061039647312631 0.668417120942594
"112" 1001 949.996337329512 0.103243367665991 1.73041155197666 0.086003788403225 -1.84538650861758 0.123515281978469 0.848312938834489 0.00755011301609203 1.05368827296099
"113" 821 949.994510799787 0.104740213263562 1.72932903535125 0.0938173510365012 -1.8491505538185 0.126077031339663 1.35704545697642 0.0157261970572153 0.864215519844227
"114" 1151 949.996970505767 0.105942502876469 1.73257313455507 0.0907458972579728 -1.85171091654994 0.121187655748409 0.469564573634714 0.030573277257278 1.21158281103488
"115" 527 949.991594541564 0.105970518838336 1.73864288772247 0.0883392190824459 -1.84616693432112 0.11738729352372 1.71188827499725 0.0766069357614628 0.554741750377606
"116" 909 949.990691363474 0.1064275775801 1.74271326449287 0.0876414251847223 -1.84399953904345 0.116021865950487 1.12168574697857 0.00438343464172789 0.956851481034364
"117" 1026 949.991950381283 0.106548254343027 1.74308727317423 0.0873789028655898 -1.84731632552264 0.1140874083522 0.776715204149365 0.0111679023871472 1.08000915122303
"118" 795 949.992681613903 0.107421356033514 1.74362583807541 0.088860407620975 -1.84759840935026 0.113969170766153 1.4191203252078 0.0192019663373986 0.836848551979798
"119" 1190 949.992444931115 0.107644388647058 1.7427754265981 0.092568796605966 -1.84722590310227 0.11851930721831 0.398920335613476 0.0329465390192543 1.25264154083487
"120" 470 949.979551082921 0.108307610902255 1.74909578937014 0.0862851343511026 -1.82597725531404 0.110802762223117 1.73511783787126 0.0797936729447415 0.494747491632033
"121" 816 949.980470478271 0.110135441111691 1.75324041683136 0.0819762361051881 -1.82327932523308 0.107510074494674 1.37078917904413 0.0134481033680956 0.85896502650121
"122" 1148 949.978086846257 0.111234853394606 1.75461614458271 0.0818823869724044 -1.8187744942135 0.109489546899776 0.48450929506728 0.0259852921445001 1.20844892729172
"123" 558 949.969261057845 0.10985171799272 1.75733198053078 0.0849893259530684 -1.79860583478361 0.118349556955023 1.71363270640852 0.0687653618286284 0.587387427019097
"124" 959 949.969975734499 0.110250222377729 1.76051795995891 0.0831293253324989 -1.79813387775289 0.111977115034418 0.97342672934062 0.000899835272717509 1.00950558911982
"125" 914 949.971995737918 0.109910420237115 1.76064601993205 0.083535000397481 -1.79682593548561 0.113029364420676 1.10548865757677 0.00405579594937646 0.962133625097048
"126" 984 949.970230791119 0.110108841534962 1.75932137299547 0.0861917807775301 -1.8007831451532 0.110694213922066 0.900196073128592 0.00416324278423363 1.03582193220996
"127" 888 949.965830615604 0.109764696621194 1.75827109119034 0.0863318404784407 -1.80253915205995 0.110823393332157 1.18025813503628 0.00598670197636192 0.934770463717155
"128" 1018 949.972759515074 0.109834294772114 1.75449383334088 0.0888322789339335 -1.81447028954677 0.108411187835343 0.802000993736402 0.00934604961688867 1.07160967491284
"129" 849 949.97334829526 0.109423629511606 1.75476387632344 0.0891722386462247 -1.80695036503098 0.114375621315395 1.28664104524195 0.00985445679319764 0.893709283027299
"130" 1054 949.97377739861 0.109516988324646 1.75485301943196 0.0895242705510983 -1.81220794173533 0.116884096462505 0.704096334192696 0.0160461199440149 1.10950430956763
"131" 714 949.977133844385 0.110336598174557 1.7524079774336 0.0899155417377886 -1.81045778993126 0.120177111252226 1.56615151037841 0.0375985298582061 0.751597038036665
"132" 1082 949.978003274831 0.110765580329672 1.7536326365884 0.0898896742431949 -1.81003865788099 0.119782560904767 0.633039220536937 0.0202017638461939 1.13897374072879
"133" 713 949.981840696733 0.111970308047434 1.75820997008153 0.0879769632257512 -1.81490584562155 0.121269600877288 1.57094281787621 0.0367782604947878 0.750540662416319
"134" 1190 949.982435316793 0.112940655995936 1.76096602714383 0.0885537480971105 -1.82142083551748 0.119471639102861 0.406636013438137 0.0307059318035946 1.25265473945649
"135" 504 949.968245312016 0.111184667353773 1.76572399770054 0.0892796483524843 -1.81233988886671 0.116500658857804 1.7417550026725 0.078917047749656 0.53054404974817
"136" 865 949.96876371176 0.111716900417948 1.76523534297916 0.0883591412600649 -1.81651330068941 0.11566377867354 1.24548952827342 0.00813149062566504 0.910556255155415
"137" 1069 949.964982609571 0.110423954703015 1.76974104760686 0.0890805357156964 -1.81775579659188 0.119339040288966 0.665806264253302 0.0183859762559805 1.12530463708613
"138" 685 949.969542468995 0.110485984809939 1.76978982971555 0.0945527656848779 -1.82434032987115 0.12514306708837 1.61608471735845 0.0478617833824257 0.721075749670529
"139" 1073 949.967476779207 0.109333383356384 1.77026765889122 0.0955381607036389 -1.82982084413536 0.125674968716452 0.6542137022559 0.0201699942808304 1.12951235303121
"140" 695 949.956946007264 0.107798739211767 1.77300609969566 0.0970325159099037 -1.82018601065548 0.121919663801353 1.60375643469691 0.0480327794683963 0.731612104023382
"141" 1070 949.957142300153 0.109890978499916 1.77420802185861 0.0961368871624647 -1.81651528133356 0.118976089777587 0.663374956991868 0.0202146204701944 1.12636660366507
